title,location,size,rental fee
4 Bed House with En Suite in Loresho,"Loresho, Westlands",Beautiful 4 Bedroom All ensuite House with Dsq...,"KSh 220,000"
3 Bed Townhouse with En Suite in Riverside,"Riverside, Westlands",Cozy Fully Furnished 3 Bedroom All En-suite Apa...,"KSh 330,000"
7 Bed Townhouse with En Suite at New Kitsuru,"NEW KITSURU, Runda, Westlands",7bdrm Townhouse / Terrace in New Kitsuru Estate...,"KSh 350,000"
6 Bed Villa with En Suite in Diani,Diani,"6 BRM Fully Furnished Holiday Home, Diani South...","KSh 50,000"
4 Bed Townhouse with En Suite in Lavington,Lavington,4 Bedroom Townhouse plus dsq,"KSh 250,000"
4 Bed Townhouse with En Suite at Kileleshwa,"01, kileleshwa, Kileleshwa",LUXURIOUS 4 BEDROOM TOWNHOUSE WITH A PRIVATE GA...,"KSh 180,000"
5 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,5Bedroom plus dsq Townhouse for Rent in Kileles...,"KSh 200,000"
2 Bed House with En Suite in Lavington,Lavington,Charming 2 Bedroom Guest Wing In Leafy Surround...,"KSh 200,000"
4 Bed Villa with En Suite at Diani Beach,"Diani Beach, Diani",4BR Beach Side Family Holiday Villa - 45K Per N...,"KSh 45,000"
4 Bed House with En Suite at Kitisuru Road,"0.6, Kitisuru Road, Kitisuru, Westlands",Modern Living Next to isk,"KSh 400,000"
1 Bed House with En Suite at Runda Muhasibu,"Runda Muhasibu, Runda, Westlands",1 Bedroom Fully Furnished Guest To Let in Runda,"KSh 80,000"
4 Bed Villa with En Suite in Westlands Area,"Westlands Area, Westlands","WESTLANDS, 4 BEDROOM VILLA FOR RENT.","KSh 230,000"
4 Bed House with En Suite at Karen Langata South Road,"Karen langata south road, Karen",FOUR BEDROOMS TO RENT KAREN,"KSh 280,000"
6 Bed Townhouse with En Suite in Runda,"Runda, Westlands",Ambassadorial Townhouse 6 Bedroom All Ensuite,"KSh 400,000"
4 Bed House with En Suite at Oloitoktok,"Kileleshwa, Oloitoktok",4bedrooms +dsq,"KSh 110,000"
4 Bed Townhouse with En Suite in Spring Valley,"Spring Valley, Westlands",Serene and Spacious Four Bedroom house to let,"KSh 270,000"
4 Bed House with En Suite in Spring Valley,"Spring Valley, Westlands",Spring Valley Four Bedroom family house to let,"KSh 350,000"
1 Bed House with Garden at Lower Kabete,"x, lower kabete, Lower Kabete, Westlands",Stunning 1 bedroom house to rent.,"KSh 110,000"
3 Bed Townhouse with En Suite at Hurlingham,"Hurlingham, Kilimani",Amazing Three bedroom Townhouse,"KSh 90,000"
6 Bed House with En Suite at Jacaranda Avenue,"777, Jacaranda Avenue, Lavington",A spacious and well maintained 6 bedroom house...,"KSh 380,000"
4 Bed Villa with En Suite in Shanzu,Shanzu,"Executive 4 Bed Room Furnished Holiday Villa,KS...","KSh 25,000"
5 Bed Villa with En Suite at Lower Kabete Road,"Lower kabete Road, Lower Kabete, Westlands",A stunning and spacious 5-bedroom villa in a pe...,"KSh 450,000"
5 Bed Townhouse with En Suite at Limuru Road,"Limuru Road, Redhill",Modern and serene 4 bedroom with a Dsq maisonet...,"KSh 130,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,Spacious Lavington 5 bedroom all-ensuite Townho...,"KSh 250,000"
4 Bed Townhouse with En Suite in Lavington,Lavington,"4 BEDROOM TOWNHOUSE + DSQ TO LET IN LAVINGTION,...","KSh 200,000"
4 Bed House with En Suite at Old Runda (Runda Drive),"Old Runda (Runda drive), Runda, Westlands",Exquisite 4 bedroom all ensuite with swimming p...,"KSh 480,000"
4 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",4 BEDROOM HOUSE FOR RENT KITISURU,"KSh 400,000"
4 Bed Townhouse with En Suite in Karen,Karen,KAREN - Absolutely stunning 4 bedroom fully fur...,"KSh 450,000"
4 Bed House with En Suite in Kileleshwa,Kileleshwa,4 bedroom house to rent in Kileleshwa (Kenya) -...,"KSh 290,000"
4 Bed Townhouse with En Suite at Kilimani,Kilimani,Kilimani 4 bedroom townhouse to let,"KSh 175,000"
5 Bed Townhouse with En Suite at Lavington,"lavington, Lavington",Lovely 5 bedroom Townhouse,"KSh 200,000"
3 Bed Townhouse with En Suite in Rosslyn,"Rosslyn, Westlands",Rosslyn; Charming 3 Bedroom Unfurnished Cottage,"KSh 400,000"
6 Bed House in Karen Hardy,Karen Hardy,Six bedrooms plus sq Karen full furnished,"KSh 400,000"
4 Bed Townhouse with En Suite at Lavington,"lavington, Lavington",Beautiful Four bedroom Townhouse,"KSh 200,000"
2 Bed House with En Suite at Karen,"karen, Karen",Beautiful Two bedroom cottage,"KSh 50,000"
4 Bed House at Runda,"Runda, Kiambu Road",Runda Kiambu Road Four Bedroom Townhouse.,"KSh 200,000"
4 Bed Townhouse with En Suite in Westlands Area,"Westlands Area, Westlands","4 Bedroom Townhouse For Rent, Westlands","KSh 400,000"
4 Bed Townhouse with En Suite at Lavington,"lavington, Lavington",Lovely four bedroom Townhouse,"KSh 250,000"
4 Bed House with Garden in Muthaiga,Muthaiga,Stand alone house,"KSh 350,000"
5 Bed Townhouse with En Suite in Loresho,"Loresho, Westlands",5 BEDROOM ALL ENSUITE TOWNHOUSE IN LORESHO,"KSh 650,000"
5 Bed Villa with En Suite in Runda,"Runda, Westlands",Runda 5bedrooms plus dsq all ensuite villa with...,"KSh 400,000"
4 Bed House with En Suite at Opposite Sabis School And Next To Elmasian Resort,"Opposite Sabis School And Next To Elmasian Resort, Kiambu Road",4 BEDROOM HOUSE FOR RENT IN RUNDA GARDENS,"KSh 200,000"
4 Bed House in Limuru Town,"Limuru Town, Limuru",Four bedrooms plus sq for rent tigoni limuru,"KSh 450,000"
6 Bed Townhouse with Garden at Thika Greens,"Thika greens, Thika",HUGE 6 BEDROOM 6 BATHROOM MANSION IN THIKA GOLF...,"KSh 85,000"
5 Bed Townhouse with En Suite in Kilimani,Kilimani,Well maintained 5Bedroom plus dsq to Let in Kil...,"KSh 160,000"
4 Bed Townhouse with En Suite at Limuru Road,"Limuru Road, Rosslyn, Westlands",Executive neat 4 bedroom townhouse all ensuite...,"KSh 300,000"
5 Bed Townhouse with En Suite in Westlands Area,"Westlands Area, Westlands",5 Bedroom townhouse in westlands for rent- 480k,"KSh 480,000"
4 Bed House with En Suite at Spring Valley,"01, Spring Valley, General Mathenge, Westlands",Executive 4 Bedroom House All Bedroom en-suite...,"KSh 250,000"
3 Bed House with Garden in Lower Kabete,"Lower Kabete, Westlands",Three Bedroom Apartment To Let,"KSh 150,000"
3 Bed House with En Suite at Limuru Road,"Limuru Road, Rosslyn, Westlands","Three Bedrooms Bungalow for rent in Rosslyn,","KSh 180,000"
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,Modern New! Stylish Four-Bedroom Villa off Kiam...,"KSh 250,000"
4 Bed House with En Suite at Rosslyn Road,"88, Rosslyn Road, Rosslyn, Westlands",Charming Home! Rosslyn Renovated Four Bedrooms...,"KSh 295,000"
3 Bed House with En Suite in Karen,Karen,Three Bedroom Apartment to Rent,"KSh 150,000"
2 Bed House with En Suite at Runda Mumwe,"Runda mumwe, Runda, Westlands",2 bedroom bungalow for rent in Runda,"KSh 200,000"
4 Bed House with En Suite at Kitisuru Road,"77, Kitisuru Road, Kitisuru, Westlands",Morden Living Next to isk,"KSh 400,000"
4 Bed Townhouse with En Suite in Kilimani,Kilimani,4Bedroom Maisonette plus dsq to Let in Kilimani,"KSh 120,000"
3 Bed Townhouse with En Suite at Kiambu Road,"Kiambu road, Kiambu Road","3br Townhouse, Ridgeways","KSh 370,000"
4 Bed House with En Suite at Loresho,"01, Loresho, Westlands",Charming and Cozy 4 Bedroom Stand Alone House t...,"KSh 300,000"
4 Bed Townhouse with En Suite in Lavington,Lavington,Modern 4Bedroom Townhouse to Let in Lavington,"KSh 350,000"
5 Bed House with En Suite at Runda,"runda, Runda, Westlands",FIVE BEDROOMS PLUS DSQ FOR RENT,"KSh 350,000"
4 Bed House with En Suite at Kcb Estate,"Kcb estate, Karen",4 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KENYA,"KSh 270,000"
3 Bed Townhouse with En Suite in Brookside,"Brookside, Westlands",3 Bedroom Apartment To Let in Westlands.,"KSh 120,000"
4 Bed Villa with En Suite at Off Lower Kabete Road,"Non, Off Lower Kabete Road, Spring Valley, Westlands",Four bedroom all ensuite Villa plus two DSQ,"KSh 250,000"
5 Bed Villa with En Suite in Karen,Karen,Elegant 5 Bedroomed Detached Villa in a Gated C...,"KSh 300,000"
5 Bed House in Rosslyn,"Rosslyn, Westlands",A Cozy 5 Bedrooms Townhouse In Rosslyn,"KSh 430,000"
4 Bed House with En Suite at Karen,"x, karen, Karen",Dazzling 4 bedroom all en suite house to let,"KSh 500,000"
4 Bed Townhouse with En Suite at Westlands,"Westlands, Westlands Area",A nicely built 4 bedroomed townhouse with staff...,"KSh 250,000"
3 Bed House with En Suite at Community Road,"A 70, Community Road, Syokimau",Three bedroom house in Syokimau,"KSh 40,000"
5 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,5 bedroom townhouse in kileleshwa for rent,"KSh 250,000"
3 Bed House with En Suite at Ridgeway,"Ridgeway, Ridgeways",Rustic 3 bedroom plus Dsq townhouse in a compou...,"KSh 160,000"
5 Bed Townhouse with En Suite at Thika Greens,"Thika greens, Thika",5 BEDROOM ALL ENSUITE WITH A DSQ IN THIKA GREE...,"KSh 65,000"
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,4 Bedroom All Ensuit plus DSQ,"KSh 190,000"
3 Bed House with En Suite at Old Runda Rwaka Road,"Old Runda rwaka road, Runda, Westlands",Runda 3 bedroom fully furnished and Serviced Ge...,"KSh 170,000"
4 Bed House with En Suite at Spring Valley,"00, Spring Valley, Westlands",Executive 4 Bedroom House All Bedroom en-suite...,"KSh 250,000"
7 Bed House with En Suite at Windy Ridge Rd,"Windy ridge Rd, Karen",7 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KENYA,"KSh 440,000"
5 Bed Townhouse with Garden at Lower Kabete,"LOWER KABETE, Loresho, Westlands","5 Bed House with Garden at Kyuna Road 280,000 P...","KSh 280,000"
4 Bed House with En Suite at Rosslyn,"01, rosslyn, Rosslyn, Westlands",Luxurious! Rosslyn 4 Bedroom + DSQ for 2 Villa...,"KSh 480,000"
5 Bed Townhouse with En Suite at Lavington,"lavington, Lavington",Lovely Five bedroom Townhouse,"KSh 150,000"
5 Bed Townhouse with Swimming Pool in Runda,"Runda, Westlands",To Let 5 Bedrooms With Dsq Villas In Runda Nair...,"KSh 450,000"
5 Bed Townhouse with En Suite at Lavington,Lavington,Lavington 5 bedroom townhouse to let,"KSh 150,000"
4 Bed Townhouse with En Suite at Yaya Center,"Yaya center, Kilimani",Stunning secure 4 bedroom townhouse plus study...,"KSh 165,000"
4 Bed House with Swimming Pool in Athi River,Athi River,Thoughtfully designed Chalet For Rent -3KE16198...,Price not communicated
5 Bed Townhouse with En Suite in Spring Valley,"Spring Valley, Westlands",New 5 bedroom townhouse for rent in spring vall...,"KSh 280,000"
4 Bed House with En Suite at Acacia Drive,"29, Acacia Drive, Runda, Westlands","Surrounded by tall, beautiful green trees, this...","KSh 270,000"
4 Bed Villa with En Suite in Kitisuru,"Kitisuru, Westlands",Imposing and Elegant 4 Bedroomed Villa in a Gat...,"KSh 300,000"
5 Bed Townhouse with En Suite at Lavington,"lavington, Lavington",Beautiful Five bedroom Townhouse,"KSh 350,000"
4 Bed House with En Suite in Lake View,"Lake View, Westlands",4 bedroom house,"KSh 350,000"
6 Bed House in Lavington,Lavington,Luxurious Six Bedroom Townhouse In Lavington,"KSh 350,000"
5 Bed House with En Suite in Runda,"Runda, Westlands",Elegant Five bedroom house to let,"KSh 350,000"
4 Bed Townhouse with En Suite in Rosslyn,"Rosslyn, Westlands",4 bedroom townhouse to rent in Rosslyn,"KSh 280,000"
4 Bed Villa with En Suite at Runda Evergreen,"Runda Evergreen, Kiambu Road",Luxurious 4 bedroom villa,"KSh 250,000"
4 Bed Townhouse with En Suite at Off Peponi Road,"4, Off Peponi road, Kitisuru, Westlands",Elegantly designed 4 Bedrooms detached Villas i...,"KSh 300,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,5Bedroom Townhouse to Let in Lavington,"KSh 250,000"
4 Bed House with En Suite in Runda,"Runda, Westlands",Elegant 4-bedroom townhouse in Runda,"KSh 320,000"
4 Bed Townhouse with En Suite at Kiambu Road,Kiambu Road,Beautiful 4-Bedroom Townhouse for rent in Kiamb...,"KSh 180,000"
4 Bed Townhouse with Garden in Muthaiga,"Old muthaiga Nairobi, Muthaiga",A 4bdrm townhouse to let in muthaiga.,"KSh 450,000"
4 Bed Townhouse with En Suite in Muthaiga,Muthaiga,House for rent in Muthaiga,"KSh 430,000"
4 Bed Townhouse with En Suite at Kileleshwa,Kileleshwa,Elegant four bedroom Townhouse,"KSh 300,000"
3 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",4 Bedroom House Plus 2 Bedroom Guestwing,"KSh 450,000"
4 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,4Bedroom Townhouse plus 2Bedroom Guest wing to...,"KSh 170,000"
5 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands",BRAND NEW TOWNHOUSE IN KITUSURU,"KSh 550,000"
2 Bed House with En Suite at Off Langatta,"Off langatta, Karen",2 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KENYA,"KSh 60,000"
5 Bed Townhouse with En Suite in Rosslyn,"Rosslyn, Westlands",Luxurious 1/2-Acre Townhouse in Rosslyn with Am...,"KSh 536,370"
5 Bed House in Langata,Langata,Five bedrooms full furnished langata,"KSh 250,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,5 Bedrooms Fully Furnished Townhouse For Rent L...,"KSh 280,000"
5 Bed House with En Suite at Lavington,"01, lavington, Lavington",COZY AND CONTEMPORARY 5 BEDROOM HOUSE FOR RENT...,"KSh 330,000"
5 Bed Townhouse in Lavington,Lavington,5bedroom 300k,"KSh 350,000"
4 Bed Villa with En Suite in Nyali Area,"Nyali Area, Nyali","4 Bedroom Furnished Family Holiday Villa, Nyali...","KSh 25,000"
4 Bed House with En Suite in Thome,"Thome, Roysambu",4 BEDROOM TO LET IN THOME,"KSh 120,000"
2 Bed House with En Suite at New Kitisuru,"New Kitisuru, Kitisuru, Westlands",RUSTIC CHARM FULLY FURNISHED 2 BEDROOM GUEST HO...,"KSh 95,000"
2 Bed House with En Suite at Mimosa Runda,"Mimosa runda, Runda, Westlands",Fully Furnished and serviced 2 bedroom Geust wi...,"KSh 150,000"
4 Bed House with En Suite at Dik Dik Gardens,"Dik Dik Gardens, Kileleshwa",Luxurious 4-Bedroom Home with Private Garden in...,"KSh 308,000"
4 Bed House with En Suite at Redhill,Redhill,4 Bedroom House For Rent in Redhill,"KSh 150,000"
3 Bed Townhouse with En Suite in Runda,"Runda, Westlands",3 bedroom townhouse to let in Runda,"KSh 100,000"
1 Bed House with En Suite at Mzima,"Mzima, Lavington",Adorable 1B available to let in Lavington,"KSh 125,000"
3 Bed House with En Suite at Kilimani Road,"kilimani road, Kilimani",THREE BEDROOM PLUS DSQ,"KSh 140,000"
4 Bed House with En Suite at Karen Langata Road,"Karen langata road, Karen",four bedrooms plus DSq for lent karen,"KSh 280,000"
4 Bed Townhouse with Swimming Pool at Grevillia Groove,"grevillia groove, Brookside, Westlands",Jambo Valley,"KSh 260,000"
4 Bed House with En Suite in Kiambu Road,Kiambu Road,4 bedroom house to rent in Kiambu Road (Kenya)...,"KSh 220,000"
4 Bed House in Ngong Road,Ngong Road,4 Bed Master Ensuite To Let On Fifth Ngong Aven...,"KSh 100,000"
4 Bed House with En Suite at Runda,"Runda, Westlands",Executive fully furnished 4 bedroom with swimmi...,"KSh 300,000"
5 Bed Villa with En Suite in Loresho,"Loresho, Westlands",Massive Well Capt 5 Bedroom All ensuit villa.,"KSh 530,000"
4 Bed Townhouse with En Suite at Lavington,"01, lavington, Lavington",Modern and Exceptional! Lavington 4 Bedroom tow...,"KSh 350,000"
4 Bed House in Lavington,Lavington,4 BEDROOM 200K,"KSh 200,000"
5 Bed House with En Suite at Tulivu Villas,"55, Tulivu Villas, Runda, Westlands",Sandwiched between built homes in Runda Medows,"KSh 300,000"
5 Bed Townhouse with En Suite at Lower Kabete Road,"Lower Kabete Road, Lake View, Westlands",Executive 5 bedroom townhouse all ensuite on 0....,"KSh 580,000"
4 Bed Townhouse with Swimming Pool in Spring Valley,"Shanzu rd spring valley, Spring Valley, Westlands",A 4bdrm townhouse to let in spring valley.,"KSh 250,000"
1 Bed House with En Suite in Runda,"Runda, Westlands",A beautiful and convenient one-bedroom outhous...,"KSh 120,000"
5 Bed Townhouse with En Suite at Woodvale Dr,"4, Woodvale Dr, Runda, Westlands",Executive and Brand New 5 Bedrooms Townhouse to...,"KSh 220,000"
4 Bed Villa with En Suite at Spring Drive,"Spring Drive, Garden Estate, Roysambu",A Furnished 4 Bedroom Villa To Let,"KSh 180,000"
4 Bed Townhouse with En Suite in Muthaiga,Muthaiga,4 bedroom house to rent in Muthaiga,"KSh 590,161"
3 Bed House with En Suite in Ridgeways,Ridgeways,3 BEDROOMS,"KSh 448,000"
5 Bed House in Lavington,Lavington,5beedrom 450k,"KSh 450,000"
3 Bed Villa with En Suite at La-Marina Mtwapa,"Mtwapa, La-marina Mtwapa",Creek Beach view 3 Bedroom cottage available fo...,"KSh 15,000"
4 Bed House with En Suite in Kiambu Road,Kiambu Road,Well Built and Maintained 4 Bedroom Townhouse f...,"KSh 130,000"
3 Bed House with Garden in Lower Kabete,"Lower Kabete, Westlands",Three Bed Townhouse,"KSh 250,000"
5 Bed Townhouse with En Suite at Lavington,"303, lavington, Lavington",Spacious 5 bedrooms townhouse for rent in Lavin...,"KSh 250,000"
4 Bed House with En Suite at Miotoni Road,"Miotoni Road, Karen",Beautiful Four bedroom house,"KSh 350,000"
5 Bed House with En Suite at Runda,"x, Runda, Westlands",Stunning 5 bedroom house to rent.,"KSh 500,000"
6 Bed House in Lavington,Lavington,Captivating! Lavington Six Bedroom Townhouse.,"KSh 300,000"
3 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,3 bedroom double-storey house to rent in Kilele...,"KSh 250,000"
4 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,Less Crowded RealEstate! 4 Bedroom Townhouse fo...,"KSh 300,000"
4 Bed House with En Suite at Guango Estate,"Guango Estate, Muchatha, Muchatha and Banana",4 bedroom master ensuite house to let with dsq,"KSh 90,000"
4 Bed House in Kitisuru,"Kitisuru, Westlands",Four bedrooms plus sq for rent kitusuru,"KSh 350,000"
4 Bed House with En Suite in Kiambu Road,Kiambu Road,Homely and Serene 4 Bedroom Maisonette for rent...,"KSh 130,000"
4 Bed House with En Suite at Karen,"O, Karen",4 BEDROOM HOUSE FOR RENT IN KAREN,"KSh 200,000"
1 Bed House with En Suite at Langata Road,"langata road, Langata",BEDSETER FULL FURNISHED TO RENT LANGATA,"KSh 55,000"
4 Bed Townhouse with En Suite in Garden Estate,"Garden Estate, Roysambu",Garden Estate Spacious 4 Bedroom Townhouse in a...,"KSh 145,000"
4 Bed House with En Suite in Kiambu Road,Kiambu Road,4 bedroom townhouse to rent in Kiambu Road (Ken...,"KSh 250,000"
2 Bed House with En Suite in Runda,"Runda, Westlands",Fully Furnished Modern Runda Two Bedroom Cottag...,"KSh 250,000"
5 Bed Villa with En Suite in Karen Hardy,Karen Hardy,5 BEDROOM VILLA FOR RENT KAREN HARDY,"KSh 250,000"
5 Bed Townhouse with En Suite in Parklands,"Parklands, Westlands",5 bedroom townhouse for rent 165k in parklands,"KSh 165,000"
4 Bed House with En Suite in Muthaiga,Muthaiga,Newly Renovated Four Bedrooms Bungalow To Let I...,"KSh 400,000"
4 Bed Townhouse with En Suite at Peponi Road,"Peponi road, Westlands Area, Westlands",4 Bedroom Townhouse for Rent in Peponi road wes...,"KSh 400,000"
5 Bed Townhouse with Swimming Pool in Rosslyn,"Rosslyn, Westlands",5 bedroom townhouse to rent in Rosslyn,"KSh 550,000"
4 Bed House with En Suite in Runda,"Runda, Westlands",4 bedroom house to rent in Runda (Kenya) 3KE162...,"KSh 350,000"
5 Bed Villa with En Suite in Nyali Area,"Nyali Area, Nyali",5 Bedroom all en suite Furnished Villa in Nyali,"KSh 20,000"
2 Bed Villa with En Suite in Diani,Diani,"Luxurious 2 Bedroom Furnished Family Villas, Di...","KSh 15,000"
4 Bed House with En Suite at Karen,Karen,4 BEDROOM HOUSE FOR RENT IN KAREN,"KSh 300,000"
3 Bed House with En Suite in Karen,Karen,COZY 3 BEDROOM COTTAGE,Price not communicated
4 Bed House with En Suite at Redhill,"01, Redhill, Ruaka",Executive Newly 4 Bedroom House all Bedroom En-...,"KSh 140,000"
4 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands",Luxurious 4-Bedroom Townhouse with Marble Finis...,"KSh 450,000"
5 Bed House with En Suite at Unep,"unep, Gigiri, Westlands","TO LET: MANSION, GIGIRI. 5 BEDROOMS, 3 ENSUITE...","KSh 350,000"
3 Bed Townhouse with En Suite in Syokimau,Syokimau,3 Bedroom All Ensuite Maisonette with DSQ to le...,"KSh 50,000"
2 Bed House with En Suite at Nyari West Drive,"Nyari west drive, Nyari, Westlands",Fully furnished 2 bed Geust wing with a private...,"KSh 140,000"
4 Bed House with En Suite at Mtwapa,"Kari Mtwapa, Mtwapa",4 acres farm house available for long term rent...,"KSh 80,000"
4 Bed Townhouse with Swimming Pool in Nyali Area,"Nyali Area, Nyali",4 BEDROOMS EXCUTIVE TOWN HOUSES - NYALI,"KSh 100,000"
4 Bed House with En Suite at Edenville Phase 1,"Edenville phase 1, Kiambu Road",4 Bedroom House in Edenville phase 1,"KSh 140,000"
5 Bed Townhouse with En Suite at Mbaazi Road,"A 70, Mbaazi Road, Lavington",Letting a five bedroom all ensuite townhouse,"KSh 180,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,Modern 5 bedroom Townhouse to let,"KSh 220,000"
5 Bed House with En Suite at Off Ruaka Road,"4, Off Ruaka Road, Runda, Westlands",A Spectacular 5 Bedrooms mansion to let in the...,"KSh 350,000"
5 Bed Villa at Matundu Close,"Matundu Villas, Matundu Close, Westlands Area, Westlands",Spacious 5-Bedroom Villa for rent at Matundu Vi...,"KSh 143,000"
4 Bed House with En Suite at Komrades Villas,"Komrades Villas, Ruiru","4 Bedroom Townhouse with Dsq For Rent In Ruiru,...","KSh 105,000"
5 Bed House with En Suite at Runda Mimosa,"Runda Mimosa, Runda, Westlands",Modern and well lit 5 bedrooms house is availab...,"KSh 350,000"
5 Bed House with En Suite at Kondek,"kondek, Lavington",five bedrooms plus dsq,"KSh 350,000"
5 Bed Townhouse with En Suite at Muthaiga Road 55,"89, Muthaiga Road 55, Muthaiga",Eight 4 Bedroom Townhouses For Rent In Old Muth...,"KSh 500,000"
4 Bed House with En Suite in Karura,"Karura, Westlands",Standalone 4 Bedrooms Villa + dsq To LET,"KSh 180,000"
5 Bed House with En Suite in Runda,"Runda, Westlands",5 bedroom house for rent in runda,"KSh 770,000"
5 Bed Townhouse with En Suite in Loresho,"Loresho, Westlands",Amazing 5 Bedroomed Duplex Town House For Rent...,"KSh 200,000"
4 Bed Townhouse with En Suite in Loresho,"Loresho, Westlands",Loresho an elegant charming contemporary newly...,"KSh 600,000"
2 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,TWO BEDROOM HOUSE TO LET AT RIVER VIEW ESTATE K...,"KSh 55,000"
4 Bed Townhouse with En Suite in Lavington,Lavington,4Bedroom plus dsq maisonette to let in Lavingto...,"KSh 100,000"
4 Bed House with En Suite in Spring Valley,"Spring Valley, Westlands",Ultimate Privacy! 4 Bedroom house for Rent in a...,"KSh 280,000"
6 Bed Townhouse with En Suite at Kirichwa Road,"90, Kirichwa road, Kilimani",newly renovated and walking distance to the Swe...,"KSh 200,000"
4 Bed Townhouse with En Suite in Runda,"Runda, Westlands","TO LET: FULLY FURNISHED MANSION, RUNDA. 4 BEDR...","KSh 360,000"
4 Bed House with En Suite in Rosslyn,"Rosslyn, Westlands",Less Crowded RealEstate! Four Bedrooms Stand A...,"KSh 300,000"
5 Bed House with En Suite in Loresho,"Loresho, Westlands",Less Crowded RealEstate! Loresho Five Bedroom H...,"KSh 300,000"
4 Bed House with En Suite in Kiambu Town,Kiambu Town,4 bedroom house to rent in Kiambu Road (Kenya),"KSh 180,000"
2 Bed House with En Suite at New Kitisuru,"New Kitisuru, Kitisuru, Westlands",Spacious 2 bedroom Cottage,"KSh 180,000"
5 Bed House with Garden in Runda,"Runda, Westlands",Runda a 5bedrooms plus dsq all ensuite classic...,"KSh 350,000"
5 Bed House with Garden in Nyari,"Nyari central Nairobi, Nyari, Westlands",A 5bdrm family house to let in nyari.,"KSh 250,000"
3 Bed House with En Suite in Ridgeways,Ridgeways,Rustic 3-Bedroom House in Serene Ridgeways Comp...,"KSh 310,000"
5 Bed House with En Suite in Loresho,"Loresho, Westlands",Beautiful 5 Bedroom House for Rent in Loresho.,"KSh 300,000"
4 Bed House with En Suite in Lavington,Lavington,Less Crowded RealEstate! Beautiful and Charming...,"KSh 450,000"
4 Bed House with Garden in Lavington,Lavington,Lavington 4 Bedroom Semi-furnished Townhouse,"KSh 130,000"
5 Bed House with En Suite in Runda,"Runda, Westlands",A Luxury Home To Let,"KSh 770,000"
3 Bed House with En Suite at Karen,Karen,3 Bedroom Bungalow,"KSh 130,000"
3 Bed House with En Suite at Gatundu Road,"Gatundu Road, Kenyatta Road",3 BEDROOM TO LET,"KSh 32,000"
4 Bed House with En Suite in Runda,"Runda, Westlands",4 Bedroom all Ensuite Townhouse for Rent in Run...,"KSh 350,000"
4 Bed House with En Suite at Evergreen,"Evergreen, Runda, Westlands",4 BEDROOMS,"KSh 500,000"
5 Bed House with En Suite at Lavington Road,"90, Lavington Road, Lavington",Magnificent 5 Bed Townhouse To Let In Lavington...,"KSh 300,000"
5 Bed House with En Suite at Lavington Road,"90, Lavington Road, Lavington",Magnificent 5 Bed Townhouse To Let In Lavington...,"KSh 300,000"
3 Bed House with En Suite at Lower Kabete Road,"Lower Kabete road, Lower Kabete, Westlands",Lovely Three bedroom cottage,"KSh 150,000"
4 Bed House with En Suite in Spring Valley,"01, Spring Valley, Westlands",Executive 4 Bedroom House all en-suite + dsq fo...,"KSh 250,000"
4 Bed House with En Suite at Eden Ville,"Eden Ville, Kiambu Road",4 BEDROOM HOUSE TO LET IN EDEN VILLE ALONG KIA...,"KSh 150,000"
6 Bed House with En Suite in Rosslyn,"Rosslyn, Westlands",6 BEDROOM HOUSE FOR RENT ROSSLYNN LONE TREE,"KSh 500,000"
6 Bed House with En Suite at Runda Road,"09, Runda Road, Runda, Westlands",Runda 6 Bedroom House to Rent with 2 Bedroom Gu...,"KSh 350,000"
4 Bed Villa with En Suite in Nyali Area,"Nyali Area, Nyali",MAGNIFICENT BRAND NEW 4 BEDROOM VILLA FOR RENT...,"KSh 280,000"
4 Bed Townhouse with En Suite in Ongata Rongai,Ongata Rongai,Beautiful 4 BR House Plus Sqs in Ongata Rongai,"KSh 50,000"
4 Bed House with En Suite at Hill View,"x, hill view, Hill View, Westlands",Exquisite 4 bedroom house to rent,"KSh 300,000"
5 Bed House with En Suite in Kiambu Road,Kiambu Road,"Luxurious 5 Bedroom, All En suite To Let on Kia...","KSh 180,000"
3 Bed House with En Suite in Lower Kabete,"Lower Kabete, Westlands",3 bedroom double-storey cluster to rent in Lowe...,"KSh 421,451"
3 Bed Townhouse with En Suite in Karen,Karen,3 Bedroom All Ensuite + SQ to Let - Karen,"KSh 150,000"
